FACNAME,COURSECODE,NAMEENGLISHABBR,EXAMDATE,EXAMSTARTTIME,EXAMENDTIME,EXAMTYPE,BUILDINGNAMEABBR,ROOMNO,NUMEXAMSEAT,STUDYPROGRAMSYSTEM
"คณะวิศวกรรมศาสตร์","2101251","CE PROF CONDUCT",1/12/2015,1300,1600,"เรียงตามเลขประจำตัวนิสิต","ENG3","204",42,"S"
"คณะวิศวกรรมศาสตร์","2101251","CE PROF CONDUCT",1/12/2015,1300,1600,"เรียงตามเลขประจำตัวนิสิต","ENG3","205",42,"S"
"คณะวิศวกรรมศาสตร์","2101251","CE PROF CONDUCT",1/12/2015,1300,1600,"เรียงตามเลขประจำตัวนิสิต","ENG3","206",42,"S"
"คณะวิศวกรรมศาสตร์","2101254","GEOL CE",4/12/2015,1300,1600,"เรียงตามเลขประจำตัวนิสิต","ENG3","204",40,"S"
"คณะวิศวกรรมศาสตร์","2101254","GEOL CE",4/12/2015,1300,1600,"เรียงตามเลขประจำตัวนิสิต","ENG3","206",40,"S"
"คณะวิศวกรรมศาสตร์","2101254","GEOL CE",4/12/2015,1300,1600,"เรียงตามเลขประจำตัวนิสิต","ENG3","205",40,"S"
"คณะวิศวกรรมศาสตร์","2101302","MAT TESTING LAB",8/12/2015,1300,1600,"เรียงตามเลขประจำตัวนิสิต","ENG3","301",60,"S"
"คณะวิศวกรรมศาสตร์","2101302","MAT TESTING LAB",8/12/2015,1300,1600,"เรียงตามเลขประจำตัวนิสิต","ENG3","304",41,"S"
"คณะวิศวกรรมศาสตร์","2101310","STRUCT ANAL I",1/12/2015,1300,1600,"เรียงตามเลขประจำตัวนิสิต","ENG3","404",38,"S"
"คณะวิศวกรรมศาสตร์","2101310","STRUCT ANAL I",1/12/2015,1300,1600,"เรียงตามเลขประจำตัวนิสิต","ENG3","409",70,"S"
"คณะวิศวกรรมศาสตร์","2101311","CIV ENG MAT",4/12/2015,830,1130,"เรียงตามเลขประจำตัวนิสิต","ENG1","303",58,"S"
"คณะวิศวกรรมศาสตร์","2101311","CIV ENG MAT",4/12/2015,830,1130,"เรียงตามเลขประจำตัวนิสิต","ENG1","304",57,"S"
"คณะวิศวกรรมศาสตร์","2101337","TRANS ENG",3/12/2015,1300,1600,"เรียงตามเลขประจำตัวนิสิต","ENG3","319",41,"S"
"คณะวิศวกรรมศาสตร์","2101337","TRANS ENG",3/12/2015,1300,1600,"เรียงตามเลขประจำตัวนิสิต","ENG3","320",41,"S"
"คณะวิศวกรรมศาสตร์","2101337","TRANS ENG",3/12/2015,1300,1600,"เรียงตามเลขประจำตัวนิสิต","ENG3","322",26,"S"
"คณะวิศวกรรมศาสตร์","2101406","STL/TIMBER DSGN",8/12/2015,830,1130,"เรียงตามเลขประจำตัวนิสิต","ENG1","303",53,"S"
"คณะวิศวกรรมศาสตร์","2101406","STL/TIMBER DSGN",8/12/2015,830,1130,"เรียงตามเลขประจำตัวนิสิต","ENG1","304",53,"S"
"คณะวิศวกรรมศาสตร์","2101421","GEO ENG DES CONS",4/12/2015,1300,1600,"เรียงตามเลขประจำตัวนิสิต","ENG3","417",35,"S"
"คณะวิศวกรรมศาสตร์","2101421","GEO ENG DES CONS",4/12/2015,1300,1600,"เรียงตามเลขประจำตัวนิสิต","ENG3","418",42,"S"
"คณะวิศวกรรมศาสตร์","2101421","GEO ENG DES CONS",4/12/2015,1300,1600,"เรียงตามเลขประจำตัวนิสิต","ENG3","419",25,"S"
"คณะวิศวกรรมศาสตร์","2101455","CONS ENG CONST EST",2/12/2015,1300,1600,"เรียงตามเลขประจำตัวนิสิต","ENG1","303",51,"S"
"คณะวิศวกรรมศาสตร์","2101455","CONS ENG CONST EST",2/12/2015,1300,1600,"เรียงตามเลขประจำตัวนิสิต","ENG1","304",52,"S"
"คณะวิศวกรรมศาสตร์","2102201","ELECT ENG MATH I",30/11/2015,1300,1600,"เรียงตามเลขประจำตัวนิสิต","ENG3","204",43,"S"
"คณะวิศวกรรมศาสตร์","2102201","ELECT ENG MATH I",30/11/2015,1300,1600,"เรียงตามเลขประจำตัวนิสิต","ENG3","206",43,"S"
"คณะวิศวกรรมศาสตร์","2102201","ELECT ENG MATH I",30/11/2015,1300,1600,"เรียงตามเลขประจำตัวนิสิต","ENG3","205",43,"S"
"คณะวิศวกรรมศาสตร์","2102203","PROB STAT ELEC ENG",8/12/2015,1300,1600,"เรียงตามเลขประจำตัวนิสิต","ENG3","204",43,"S"
"คณะวิศวกรรมศาสตร์","2102203","PROB STAT ELEC ENG",8/12/2015,1300,1600,"เรียงตามเลขประจำตัวนิสิต","ENG3","205",43,"S"
"คณะวิศวกรรมศาสตร์","2102203","PROB STAT ELEC ENG",8/12/2015,1300,1600,"เรียงตามเลขประจำตัวนิสิต","ENG3","206",43,"S"
"คณะวิศวกรรมศาสตร์","2102210","CIRCUIT THEORY I",4/12/2015,1300,1600,"เรียงตามเลขประจำตัวนิสิต","ENG3","415",76,"S"
"คณะวิศวกรรมศาสตร์","2102210","CIRCUIT THEORY I",4/12/2015,1300,1600,"เรียงตามเลขประจำตัวนิสิต","ENG3","420",53,"S"
"คณะวิศวกรรมศาสตร์","2102332","LIN CONT SYS I",2/12/2015,1300,1600,"เรียงตามเลขประจำตัวนิสิต","EN100","501",50,"S"
"คณะวิศวกรรมศาสตร์","2102332","LIN CONT SYS I",2/12/2015,1300,1600,"เรียงตามเลขประจำตัวนิสิต","EN100","502",49,"S"
"คณะวิศวกรรมศาสตร์","2102360","ELEC POWER SYS I",8/12/2015,830,1130,"เรียงตามเลขประจำตัวนิสิต","ENG3","315",82,"S"
"คณะวิศวกรรมศาสตร์","2102370","PRINC COMM",3/12/2015,830,1130,"เรียงตามเลขประจำตัวนิสิต","EN100","501",51,"S"
"คณะวิศวกรรมศาสตร์","2102370","PRINC COMM",3/12/2015,830,1130,"เรียงตามเลขประจำตัวนิสิต","EN100","502",51,"S"
"คณะวิศวกรรมศาสตร์","2102382","ETRON CIRCUITS",3/12/2015,830,1130,"เรียงตามเลขประจำตัวนิสิต","ENG1","304",39,"S"
"คณะวิศวกรรมศาสตร์","2102383","FUND DIGITAL SYS",4/12/2015,830,1130,"เรียงตามเลขประจำตัวนิสิต","ENG3","401",54,"S"
"คณะวิศวกรรมศาสตร์","2102383","FUND DIGITAL SYS",4/12/2015,830,1130,"เรียงตามเลขประจำตัวนิสิต","ENG3","404",43,"S"
"คณะวิศวกรรมศาสตร์","2102385","SEMICON DEV I",1/12/2015,830,1130,"เรียงตามเลขประจำตัวนิสิต","EN100","504",63,"S"
"คณะวิศวกรรมศาสตร์","2102385","SEMICON DEV I",1/12/2015,830,1130,"เรียงตามเลขประจำตัวนิสิต","ENG3","305",45,"S"
"คณะวิศวกรรมศาสตร์","2102391","ELEC ENG I",4/12/2015,830,1130,"เรียงตามเลขประจำตัวนิสิต","ENG3","409",70,"S"
"คณะวิศวกรรมศาสตร์","2102391","ELEC ENG I",4/12/2015,830,1130,"เรียงตามเลขประจำตัวนิสิต","MHMK","M01",31,"S"
"คณะวิศวกรรมศาสตร์","2102391","ELEC ENG I",4/12/2015,830,1130,"เรียงตามเลขประจำตัวนิสิต","MHMK","M02",30,"S"
"คณะวิศวกรรมศาสตร์","2102391","ELEC ENG I",4/12/2015,830,1130,"เรียงตามเลขประจำตัวนิสิต","ENG3","417",34,"S"
"คณะวิศวกรรมศาสตร์","2102391","ELEC ENG I",4/12/2015,830,1130,"เรียงตามเลขประจำตัวนิสิต","ENG3","415",70,"S"
"คณะวิศวกรรมศาสตร์","2102392","ELEC ENG LAB I",4/12/2015,1300,1600,"เรียงตามเลขประจำตัวนิสิต","ENG3","319",41,"S"
"คณะวิศวกรรมศาสตร์","2102392","ELEC ENG LAB I",4/12/2015,1300,1600,"เรียงตามเลขประจำตัวนิสิต","MHMK","M02",30,"S"
"คณะวิศวกรรมศาสตร์","2102392","ELEC ENG LAB I",4/12/2015,1300,1600,"เรียงตามเลขประจำตัวนิสิต","ENG3","322",40,"S"
"คณะวิศวกรรมศาสตร์","2102392","ELEC ENG LAB I",4/12/2015,1300,1600,"เรียงตามเลขประจำตัวนิสิต","ENG3","324",40,"S"
"คณะวิศวกรรมศาสตร์","2102392","ELEC ENG LAB I",4/12/2015,1300,1600,"เรียงตามเลขประจำตัวนิสิต","MHMK","M01",31,"S"
"คณะวิศวกรรมศาสตร์","2102392","ELEC ENG LAB I",4/12/2015,1300,1600,"เรียงตามเลขประจำตัวนิสิต","ENG3","321",41,"S"
"คณะวิศวกรรมศาสตร์","2102401","RANDOM PROC EE",4/12/2015,1300,1600,"เรียงตามเลขประจำตัวนิสิต","ENG3","419",17,"S"
"คณะวิศวกรรมศาสตร์","2102446","FUND POWER ETRONIC",2/12/2015,1300,1600,"เรียงตามเลขประจำตัวนิสิต","ENG3","305",45,"S"
"คณะวิศวกรรมศาสตร์","2103106","ENG DRAWING",4/12/2015,830,1130,"เรียงตามเลขประจำตัวนิสิต","ENG3","204",43,"S"
"คณะวิศวกรรมศาสตร์","2103106","ENG DRAWING",4/12/2015,830,1130,"เรียงตามเลขประจำตัวนิสิต","ENG3","309",40,"S"
"คณะวิศวกรรมศาสตร์","2103106","ENG DRAWING",4/12/2015,830,1130,"เรียงตามเลขประจำตัวนิสิต","ENG3","319",40,"S"
"คณะวิศวกรรมศาสตร์","2103106","ENG DRAWING",4/12/2015,830,1130,"เรียงตามเลขประจำตัวนิสิต","ENG3","320",38,"S"
"คณะวิศวกรรมศาสตร์","2103106","ENG DRAWING",4/12/2015,830,1130,"เรียงตามเลขประจำตัวนิสิต","ENG3","320",1,"S"
"คณะวิศวกรรมศาสตร์","2103106","ENG DRAWING",4/12/2015,830,1130,"เรียงตามเลขประจำตัวนิสิต","ENG3","318",40,"S"
"คณะวิศวกรรมศาสตร์","2103106","ENG DRAWING",4/12/2015,830,1130,"เรียงตามเลขประจำตัวนิสิต","ENG3","306",40,"S"
"คณะวิศวกรรมศาสตร์","2103106","ENG DRAWING",4/12/2015,830,1130,"เรียงตามเลขประจำตัวนิสิต","ENG3","206",43,"S"
"คณะวิศวกรรมศาสตร์","2103106","ENG DRAWING",4/12/2015,830,1130,"เรียงตามเลขประจำตัวนิสิต","ENG3","304",40,"S"
